profile,status,sample_count,recommended_match_count,baseline_roi_percent,optimized_roi_percent,host_team_goal_factor,home_team_goal_factor,seed_team_goal_factor,handicap_smoothing_factor,recommendation_odds,handicap_recommendation_threshold,handicap_reverse_threshold,single_recommendation_threshold
WORLD_CUP:CURRENT,optimized,103,16,-29.61,61.44,1.10,1.06,1.85,0.641,2.04,70.86,2.71,75.00
WORLD_CUP:PREVIOUS,optimized,167,27,-41.78,38.35,0.90,1.06,2.10,0.628,2.15,81.00,42.37,86.00
EUROPEAN_CHAMPIONSHIP:CURRENT,inherits_previous_until_start,,,,,1.10,0.96,1.85,0.723,2.29,46.28,46.00,54.00
EUROPEAN_CHAMPIONSHIP:PREVIOUS,optimized,51,15,-41.10,87.20,1.10,0.96,1.85,0.723,2.29,46.28,46.00,54.00
COPA_AMERICA:CURRENT,inherits_previous_until_start,,,,,1.10,0.96,1.85,0.177,1.95,40.29,51.89,44.00
COPA_AMERICA:PREVIOUS,optimized,31,7,-42.10,483.22,1.10,0.96,1.85,0.177,1.95,40.29,51.89,44.00
CLUB_WORLD_CUP:CURRENT,inherits_previous_until_start,,,,,1.10,2.75,1.85,0.170,2.50,52.45,58.38,82.00
CLUB_WORLD_CUP:PREVIOUS,optimized,63,15,-57.99,52.95,1.10,2.75,1.85,0.170,2.50,52.45,58.38,82.00
EUROPA_LEAGUE:CURRENT,inherits_previous_until_start,,,,,1.10,0.65,1.85,0.284,2.80,50.73,59.47,69.30
EUROPA_LEAGUE:PREVIOUS,optimized,137,21,-42.26,104.59,1.10,0.65,1.85,0.284,2.80,50.73,59.47,69.30
CHAMPIONS_LEAGUE:CURRENT,inherits_previous_until_start,,,,,1.10,0.95,1.85,0.619,2.38,67.24,46.78,57.00
CHAMPIONS_LEAGUE:PREVIOUS,optimized,176,27,-51.96,48.90,1.10,0.95,1.85,0.619,2.38,67.24,46.78,57.00
PREMIER_LEAGUE:CURRENT,inherits_previous_until_start,,,,,1.10,2.30,1.85,0.070,2.16,80.00,58.00,98.65
PREMIER_LEAGUE:PREVIOUS,optimized,338,53,-55.89,-15.81,1.10,2.30,1.85,0.070,2.16,80.00,58.00,98.65
LA_LIGA:CURRENT,inherits_previous_until_start,,,,,1.10,1.45,1.85,0.271,2.23,53.45,49.63,62.00
LA_LIGA:PREVIOUS,optimized,353,55,-40.73,25.99,1.10,1.45,1.85,0.271,2.23,53.45,49.63,62.00
SERIE_A:CURRENT,inherits_previous_until_start,,,,,1.10,1.06,1.85,0.028,1.83,49.55,50.20,58.15
SERIE_A:PREVIOUS,optimized,350,55,-39.21,20.23,1.10,1.06,1.85,0.028,1.83,49.55,50.20,58.15
BUNDESLIGA:CURRENT,inherits_previous_until_start,,,,,1.10,1.05,1.85,0.123,2.11,62.07,53.40,50.00
BUNDESLIGA:PREVIOUS,optimized,282,45,-48.99,7.82,1.10,1.05,1.85,0.123,2.11,62.07,53.40,50.00
LIGUE_1:CURRENT,inherits_previous_until_start,,,,,1.10,1.11,1.85,0.120,1.88,48.00,49.27,92.43
LIGUE_1:PREVIOUS,optimized,224,34,-53.39,-17.89,1.10,1.11,1.85,0.120,1.88,48.00,49.27,92.43
BRAZIL_SERIE_A:CURRENT,optimized,3,3,-22.12,152.81,1.10,1.15,1.85,0.795,1.00,92.04,41.11,46.96
BRAZIL_SERIE_A:PREVIOUS,optimized,16,5,-67.40,1741.84,1.10,1.50,1.85,0.034,1.81,43.17,54.20,25.76
PRIMEIRA_LIGA:CURRENT,inherits_previous_until_start,,,,,1.10,1.00,1.85,0.550,1.85,64.00,30.53,54.28
PRIMEIRA_LIGA:PREVIOUS,optimized,175,53,-44.68,10.18,1.10,1.00,1.85,0.550,1.85,64.00,30.53,54.28
EREDIVISIE:CURRENT,inherits_previous_until_start,,,,,1.10,0.70,1.85,0.180,2.42,56.53,48.00,67.00
EREDIVISIE:PREVIOUS,optimized,189,29,-29.64,62.82,1.10,0.70,1.85,0.180,2.42,56.53,48.00,67.00
ARGENTINE_PRIMERA_DIVISION:CURRENT,no_samples,0,0,,,1.10,1.06,1.85,0.274,1.03,68.16,46.78,71.72
ARGENTINE_PRIMERA_DIVISION:PREVIOUS,no_samples,0,0,,,1.10,1.06,1.85,0.274,1.03,68.16,46.78,71.72
